('0', 'ul. Warowna 3', '52.1961649', '20.9872982')
('1', 'ul. Pruszkowska 4 D', '52.2015717', '20.982572')
('2', 'ul. Stefana Baleya 9', '52.197121', '20.9777401')
('3', 'ul. Wawrzynca zulawskiego 2', '52.1906', '20.9924302')
('4', 'ul. Giordana Bruna 34', '52.20654645', '20.9995758253394')
('5', 'ul. zwirki i Wigury 9/13', '52.1882557', '20.9796389')
('6', 'ul. Walentego Skorochod-Majewskiego 18', '52.2063673', '20.9739377')
('7', 'ul. Jana Pawla Woronicza 50', '52.18949145', '21.0027454345859')
('8', 'Aleja Dwudziestolatkow 3', '52.192637', '20.9685998')
('9', 'Aleja Niepodleglosci 121/123', '52.1992931', '21.0114616')
('10', 'Aleja Niepodleglosci 103', '52.19389075', '21.01387035')
('11', 'ul. zwirki i Wigury 3a', '52.1826069', '20.9779678')
('12', 'ul. Bialobrzeska 22', '52.2127817', '20.973303')
('13', 'ul. Kazimierzowska 53/55', '52.20435375', '21.0141275')
('14', 'Aleja Niepodleglosci 77/85', '52.1922277', '21.01475735')
('15', 'ul. Czestochowska 1', '54.487038', '18.5215437')
('16', 'ul. zwirki i Wigury 105', '52.2158476', '20.9874688')
('17', 'ul. Rakowiecka 4 A', '52.2097878', '21.0207673')
('18', 'ul. Domaniewska 41', '52.1819976', '21.0010314')
('19', 'ul. Wawelska 52/54', '52.2167713', '20.9912433318904')
('20', 'ul. Opaczewska 43', '52.2112289', '20.9618779')
('21', 'ul. Rodziny Hiszpanskich 8', '52.181083', '21.0069622')
('22', 'ul. Filtrowa 62', '52.2195357', '20.9874182')
('23', 'ul. Rakowiecka 2 A', '52.2097878', '21.0207673')
('24', 'ul. Kazimierza Wielkiego 2', '52.19061395', '20.9549606329084')
('25', 'Aleja Niepodleglosci 208', '52.2168609', '21.0060493')
('26', 'ul. Dworkowa 9', '52.2052099', '21.0232832')
('27', 'Aleja Armii Ludowej 26', '52.21801285', '21.0081447488618')
('28', 'Aleje Jerozolimskie 179', '52.2130256', '20.9554458')
('29', 'Aleje Jerozolimskie 144', '52.21805', '20.9640317')
('30', 'ul. Pulawska 166', '52.1852369', '21.0237945')
('31', 'Aleje Jerozolimskie 148', '52.2133727', '20.9515606')
('32', 'ul. Flory 9', '52.2134832', '21.0235441')
('33', 'ul. Tytusa Chalubinskiego 4', '52.2237634', '21.0048048606997')
('34', 'ul. Marszalkowska 26', '52.21721495', '21.0198323821671')
('35', 'ul. Czerniowiecka 3', '52.1848262', '21.0281316')
('36', 'ul. Towarowa 5', '52.2265025', '20.9861507')
('37', 'ul. Litewska 2/4', '52.21687965', '21.0227410321824')
('38', 'ul. Obrzezna 1', '52.1702851', '20.9975127962336')
('39', 'ul. zwirki i Wigury 1', '52.181743', '20.9776900864056')
('40', 'ul. Koszykowa 54', '52.22291', '21.0129563')
('41', 'ul. Tytusa Chalubinskiego 8', '52.2259506', '21.0041692563871')
('42', 'ul. Chelmska 29', '52.2017605', '21.0364193899614')
('43', 'ul. Beldan 2', '52.1716475', '21.0106700090839')
('44', 'ul. Nowogrodzka 45', '52.22791605', '21.0095418439381')
('45', 'ul. Panska 96', '52.2309315', '20.990111')
('46', 'Aleje Jerozolimskie 54', '52.22882145', '21.0031636923729')
('47', 'Aleja Krakowska 110/114', '52.1793482', '20.9478708')
('48', 'ul. Walbrzyska 11', '52.1719622', '21.0252395')
('49', 'ul. Mila 2b', '52.2509906', '20.9914837')
('50', 'ul. Jana Kiepury 19', '52.1345007', '21.0701212')
('51', 'ul. Wspolna 30', '52.22778165', '21.0155249795452')
('52', 'ul. Icchoka Lejba Pereca 13/19', '52.2335473', '20.9939608')
('53', 'Plac Defilad 1', '52.2317641', '21.0057996756161')
('54', 'ul. Krucza 36', '52.2284432', '21.0180186621029')
('55', 'ul. Wspolna 4', '52.24578525', '21.183303556411')
('56', 'ul. Wiejska 2/4', '52.2279318', '21.0237716')
('57', 'ul. Jana Kazimierza 15', '52.2244433', '20.9479872')
('58', 'Plac Trzech Krzyzy 13', '52.2295702', '21.0224804')
('59', 'ul. Wolska 56', '52.2338232', '20.9663932')
('60', 'ul. Nowy swiat 6/12', '52.2313861', '21.0223124')
('61', 'ul. laczyny 8', '52.15986915', '21.0021273552786')
('62', 'ul. Przy Bernardynskiej Wodzie 7', '52.1910733', '21.0516903')
('63', 'ul. Goleszowska 6', '52.2252869', '20.9407254')
('64', 'ul. swietokrzyska 31/33', '52.2353714', '21.0105726')
('65', 'ul. Melomanow 10', '52.20690105', '21.0524381853254')
('66', 'ul. Burgaska 2/4', '52.1852632', '21.0508599')
('67', 'ul. Jozefa Sowinskiego 28', '52.224462', '20.9367655')
('68', 'Aleja Solidarnosci 129/131', '52.2401834', '20.9890466')
('69', 'ul. Poleczki 35', '52.1557716', '20.9963341')
('70', 'ul. Wawrzynca Surowieckiego 8', '52.1599591', '21.0207068')
('71', 'ul. swietokrzyska 12', '52.23745945', '21.0168311969501')
('72', 'ul. Plocka 34', '52.23923385', '20.9659562')
('73', 'ul. Popularna 12', '52.2049069', '20.9180284')
('74', 'ul. Wolnosc 7', '52.2413522', '20.980316197457')
('75', 'ul. Golkowska 17', '52.1927496', '21.0590207')
('76', 'ul. Mikolaja Kopernika 36/40', '52.2380734', '21.0200113')
('77', 'ul. Krakowskie Przedmiescie 26/28', '52.2406597', '21.02028620786')
('78', 'ul. Ludna 4', '52.2323295', '21.0369381')
('79', 'ul. Senatorska 40', '52.2428236', '21.0040553')
('80', 'ul. Dobra 18/20', '52.23776865', '21.0293049423632')
('81', 'ul. swietego Bonifacego 90', '52.1857471', '21.0627007')
('82', 'ul. Bartycka 24/26', '52.2130715', '21.0589756')
('83', 'ul. Zamiany 12', '52.1598258', '21.0358012')
('84', 'ul. Senatorska 16', '52.24472405', '21.0095709203521')
('85', 'ul. Gorczewska 97', '52.2388874', '20.9438328')
('86', 'ul. Jana Olbrachta 46', '52.2357921', '20.9372553')
('87', 'ul. Banderii 4', '52.245082', '20.96405')
('88', 'Aleja Jana Pawla II 61', '52.2477551', '20.987902')
('89', 'ul. Dobra 56/66', '52.2426614', '21.0250519301779')
('90', 'ul. Fasolowa 36', '52.2008455', '20.9056082306146')
('91', 'ul. Powstancow slaskich 10', '52.2247978', '20.9176413')
('92', 'ul. Dzieci Warszawy 27A', '52.1925244', '20.9047546')
('93', 'ul. Xawerego Dunikowskiego 11', '52.1520994', '21.0262959')
('94', 'Rynek Starego Miasta 15', '52.2492185', '21.0120997227069')
('95', 'ul. Obozowa 63/65', '52.247137', '20.9535396')
('96', 'ul. Francuska 11 A', '52.2336039', '21.0545551')
('97', 'ul. Pasaz Ursynowski 1', '52.1537065', '21.0360779')
('98', 'ul. Jozefa Lewartowskiego 5', '52.2520092', '20.9952892326719')
('99', 'ul. Czluchowska 25', '52.2284749', '20.913205')
('100', 'ul. Dzika 4', '52.2527961', '20.9876812')
('101', 'ul. Generala Felicjana Slawoja Skladkowskiego 4', '52.187372', '20.8997703')
